시군명,사업장명,인허가일자,영업상태명,폐업일자,병상수(개),의료기관종별명,의료인수(명),입원실수(개),진료과목내용,연면적(㎡),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
수원시,채율한의원,20060404,영업중,,,1,126.87,"경기도 수원시 팔달구 인계로166번길 48-21 (인계동, 인계샤르망오피스텔 202호)",경기도 수원시 팔달구 인계동 1119번지 인계샤르망오피스텔 202호,16488,37.26451838,127.0333655,,,
수원시,새움한의원,20171128,영업중,,,1,125.69,"경기도 수원시 영통구 반달로35번길 30, 315호, 316호, 317호 (영통동)",경기도 수원시 영통구 영통동 1012번지 1호 영통역 아이파크,16705,37.25176729,127.0774098,,,
수원시,아미율한의원,20171123,영업중,,,1,159.09,"경기도 수원시 팔달구 권광로 184, 306,307호 (인계동)",경기도 수원시 팔달구 인계동 1120번지 캐슬타워,16488,37.2637705,127.0333088,,,
수원시,손앤정한의원,20171030,영업중,,,2,177.64,"경기도 수원시 권선구 동수원로177번길 40, 상가214,215,216호 (권선동, 수원아이파크시티8단지)","경기도 수원시 권선구 권선동 1364번지 수원아이파크시티8단지 상가214,215,216호",16663,37.2466607,127.0300559,,,
수원시,한빛한의원,20020501,영업중,,,1,128.2,경기도 수원시 장안구 창룡대로 191 (연무동),경기도 수원시 장안구 연무동 246-22,16219,37.2925679,127.0308055,,,
수원시,모자한의원,20020426,영업중,,,1,275.66,경기도 수원시 장안구 정자천로173번길 11-3 (정자동),경기도 수원시 장안구 정자3동 878-1,16334,37.2955713,126.9944233,,,
수원시,베스트경희한의원,19980726,영업중,,,1,173.26,경기도 수원시 장안구 덕영대로535번길 34 (천천동),경기도 수원시 장안구 천천동 524-2번지,16329,37.2970115,126.9820847,,,
수원시,경희약손한의원,20170215,영업중,,,2,96.4,"경기도 수원시 권선구 금곡로 206, 204-1호 (금곡동, 호매실우성메디피아2)",경기도 수원시 권선구 금곡동 1117번지,16393,37.27407223,126.9542645,,,
수원시,다온한의원,20180618,영업중,,,1,151.79,"경기도 수원시 팔달구 동말로77번길 1, 301호 (화서동)",경기도 수원시 팔달구 화서동 92번지 4호,16441,37.2788756,127.0025098,,,
수원시,함소아한의원 광교점,20180724,영업중,,,1,203.6,"경기도 수원시 영통구 센트럴타운로 106, 센트럴프라자 215,216호 (이의동)",경기도 수원시 영통구 이의동 1322번지 5호 센트럴프라자,16506,37.2926519,127.0501129,,,
수원시,서린한의원,20040507,영업중,,,1,103.04,"경기도 수원시 영통구 인계로220번길 6-3 (매탄동,미산빌딩401호)",경기도 수원시영통구 매탄동 923번지 30호 미산빌딩401호,16543,37.2646242,127.0411668,,,
수원시,다정한의원,20140127,영업중,,,1,103.99,"경기도 수원시 영통구 광교중앙로 250, 304호 (하동, 광교더존프라자)",경기도 수원시 영통구 하동 983번지 광교더존프라자 304호,16512,37.2922923,127.0674464,,,
수원시,서울한의원,19760315,영업중,,,3,198,경기도 수원시 팔달구 정조로 810 (팔달로1가),경기도 수원시 팔달구 팔달로1가 7-9번지,16257,37.2803164,127.0168414,,,
수원시,윤한의원,19960627,영업중,,,1,174.89,"경기도 수원시 팔달구 권광로 146 (인계동,벽산그랜드코아201-2,208호)","경기도 수원시 팔달구 인계동 1125-2번지 벽산그랜드코아201-2,208호",16491,37.26041,127.0318081,,,
수원시,햇살나무한의원,20050413,영업중,,,1,97.5,"경기도 수원시 영통구 태장로 87, 2층 (망포동)",경기도 수원시 영통구 망포동 383번지 1호 2층,16688,37.23932675,127.0555793,,,
수원시,경희허브한의원,20010308,영업중,,,1,162.8,경기도 수원시 장안구 서부로 2139 (율전동),경기도 수원시 장안구 율전동 285번지 2호,16360,37.2993698,126.9715948,,,
수원시,김선호한의원,19900910,영업중,,,2,93.11,"경기도 수원시 장안구 장안로 232 (정자동, 동신아파트(동신1차상가))",경기도 수원시 장안구 정자동 395번지 5호,16340,37.30365766,126.9939027,,,
수원시,해나무한의원,20111115,영업중,,,1,112.32,경기도 수원시 팔달구 덕영대로 923-10 (매산로1가),경기도 수원시 팔달구 매산로1가 57-105번지,16461,37.2658197,127.0016418,,,
수원시,승보한의원,20031023,영업중,,,1,106.47,"경기도 수원시 영통구 인계로 254, 203호 (매탄동, 효원상가)",경기도 수원시 영통구 매탄동 873번지 효원 상가 203호,16544,37.2637399,127.0448302,,,
수원시,이소한의원,20041115,영업중,,,1,204.6,"경기도 수원시 영통구 반달로7번길 6 (영통동, 센타프라자)",경기도 수원시 영통구 영통동,16704,37.2522379,127.0739949,,,
수원시,휴한의원,20000406,영업중,,,1,192,"경기도 수원시 권선구 권광로 145, 207~209호 (권선동, 이오스오피스텔)",경기도 수원시 권선구 권선동 1023번지 2호,16571,37.2606805,127.0309741,,,
수원시,한돌한의원,20050421,영업중,,,1,83.4,경기도 수원시 장안구 수성로261번길 30 (정자동),경기도 수원시 장안구 정자2동 73-7,16314,37.2910935,127.0001979,,,
수원시,열린한의원,20110616,영업중,,,1,102.2,경기도 수원시 장안구 정조로 954 (영화동),경기도 수원시 장안구 영화동 301번지 4호 1층,16269,37.2925168,127.0117011,,,
수원시,사랑채한의원,20110420,영업중,,,1,92.3,경기도 수원시 장안구 수성로261번길 16 (정자동),경기도 수원시 장안구 정자동 73번지 10호 정자종합상가 201호,16314,37.29068937,127.0009055,,,
수원시,천통한의원,20170601,영업중,,,2,198.83,"경기도 수원시 권선구 금곡로102번길 20, 204호 (금곡동)",경기도 수원시 권선구 금곡동 1082번지 1호,16385,37.2733182,126.9411524,,,
수원시,경희부부한의원,20030220,영업중,,,1,116.2,"경기도 수원시 권선구 세지로 68, 1층 (권선동)",경기도 수원시 권선구 권선동 999번지 9호,16564,37.2578537,127.017446,,,
수원시,아이조아패밀리한의원,20040108,영업중,,,1,263.31,"경기도 수원시 영통구 봉영로 1587, 501호 (영통동, 다모아프라자)",경기도 수원시 영통구 영통2동 959번지 4호,16703,37.25332675,127.0723287,,,
수원시,다솔한의원,19951109,영업중,,,2,62.22,경기도 수원시 권선구 삼천병마로1598번길 18 (오목천동),수원시 권선구 오목천동 314-11,16635,37.2453781,126.9645392,,,
수원시,성심한의원,20070131,영업중,,,1,101.33,경기도 수원시 장안구 송정로 108 (정자동),경기도 수원시 장안구 정자2동 1번지 2호,16311,37.295148,127.0088931,,,
수원시,민제한의원,20010423,영업중,,,1,114.11,경기도 수원시 장안구 만석로159번길 68-6 (파장동),경기도 수원시 장안구 파장동 495번지 22호,16351,37.30450968,126.9967008,,,
수원시,남경한의원,20050927,영업중,,,1,164,"경기도 수원시 영통구 반달로7번길 6, 705호 (영통동, 센타프라자)",경기도 수원시 영통구 영통동 998-5번지 센타프라자 705호,16704,37.2522379,127.0739949,,,
수원시,이현수한의원,20030926,영업중,,,2,103.5,"경기도 수원시 권선구 동수원로 232, 3층 219호 (권선동, 엘지마트)",경기도 수원시 권선구 권선동 1296번지 5호,16553,37.25018265,127.0346447,,,
수원시,청담한의원,20060116,영업중,,,1,182.28,"경기도 수원시 팔달구 중부대로143번길 17 (우만동,3층)",경기도 수원시 팔달구 우만동 561-6번지 3층,16240,37.27935932,127.0318995,,,
수원시,경희금강한의원,20000408,영업중,,,1,84,경기도 수원시 장안구 대평로 74 (정자동),경기도 수원시 장안구 정자3동 878-8,16334,37.2949316,126.9938144,,,
수원시,이병주한의원,19970123,영업중,,,2,159.43,경기도 수원시 장안구 만석로159번길 39 (정자동),경기도 수원시 장안구 정자1동 297-4,16340,37.30306805,126.9967573,,,
수원시,푸른한의원,19960112,영업중,,,1,97.45,경기도 수원시 장안구 조원로 96 (조원동),경기도 수원시 장안구 조원1동 733번지 14호,16282,37.30134659,127.0154242,,,
수원시,범아박승택한의원,19950920,영업중,,,2,71.35,경기도 수원시 장안구 팔달로259번길 10 (영화동),경기도 수원시 장안구 영화동 327번지 8호,16270,37.289291,127.0131442,,,
수원시,경진한의원,19950420,영업중,,,1,137.45,"경기도 수원시 팔달구 정조로801번길 3 (팔달로2가,5외 2필지 삼광빌딩 2층(201호))",경기도 수원시 팔달구 팔달로2가 5번지 (5외 2필지 삼광빌딩 2층(201호)),16261,37.2794335,127.0161196,,,
수원시,김한의원,19941027,영업중,,,1,110.44,경기도 수원시 팔달구 덕영대로697번길 17 (화서동),경기도 수원시 팔달구 화서동 644-5번지,16435,37.2849029,126.9910303,,,
수원시,김한의원,19960212,영업중,,,1,62.83,"경기도 수원시 권선구 상탑로 132-10, 3층 (서둔동, 삼진프라자)",경기도 수원시 권선구 서둔동,16615,37.2704047,126.9857336,,,
수원시,경인한의원,20130320,영업중,,,2,143.62,"경기도 수원시 권선구 경수대로 261, 201호 (세류동)",경기도 수원시 권선구 세류동 1121번지 4호 리치타워 201호,16590,37.2506273,127.0185267,,,
수원시,함소아한의원(북수원),20130311,영업중,,,1,191.2,"경기도 수원시 장안구 만석로19번길 29, 402호 (천천동, 부강프라자)",경기도 수원시 장안구 천천동 527번지 3호,16329,37.2965431,126.9830322,,,
수원시,교동한의원,20030410,영업중,,,1,133.2,"경기도 수원시 장안구 대평로 80, 407호 (정자동)",경기도 수원시 장안구 정자동 877번지 4호 정연메이져 407호,16334,37.2954812,126.9935662,,,
수원시,연상한의원,20021004,영업중,,,1,61.1,"경기도 수원시 장안구 연무로 53 (연무동, 한동빌딩)",경기도 수원시 장안구 연무동,16220,37.2953983,127.0255283,,,
수원시,명진한의원,20030903,영업중,,,1,237.7,"경기도 수원시 장안구 파장로 74, 301호 (파장동)",경기도 수원시 장안구 파장동 581번지 1호,16349,37.30614925,126.9925046,,,
수원시,조은부부한의원,20030623,영업중,,,1,137.77,경기도 수원시 장안구 금당로 39 (조원동),경기도 수원시 장안구 조원동 857,16278,37.3034008,127.015729,,,
수원시,서울S한의원,20030529,영업중,,,1,107.69,경기도 수원시 장안구 송원로 113 (조원동),경기도 수원시 장안구 조원동 288-7,16294,37.3044284,127.011725,,,
수원시,신수당한의원,19931221,영업중,,,1,171.48,"경기도 수원시 팔달구 동말로 69 (화서동,3층)",경기도 수원시 팔달구 화서1동 98번지 3호 3층,16441,37.2788756,127.0016191,,,
수원시,청원한의원,19890818,영업중,,,1,73.34,경기도 수원시 팔달구 정조로 625 (매교동),수원시 팔달구 매교동 167-47,16573,37.2645126,127.0149784,,,
수원시,한중한의원,19881015,영업중,,,1,130.97,경기도 수원시 팔달구 수원천로 309-1 (남수동),경기도 수원시 팔달구 남수동 131-1번지,16257,37.28098313,127.0178677,,,
수원시,천우한의원,19891027,영업중,,,1,40.33,경기도 수원시 장안구 연무로 54 (연무동),경기도 수원시 장안구 연무동 233-21,16216,37.2957316,127.0258104,,,
수원시,광희한의원,20011026,영업중,,,1,287.63,경기도 수원시 장안구 만석로19번길 11-3 (천천동),경기도 수원시 장안구 천천동 528번지 4호 태영프라자 402호,16329,37.295516,126.9836189,,,
수원시,향일당한의원,19950518,영업중,,,1,88.4,"경기도 수원시 팔달구 중부대로223번길 27, 206호 (우만동, 선경아파트)",경기도 수원시 팔달구 우만동 105번지 선경아파트 206호,16498,37.2772119,127.0401133,,,
수원시,홍희한의원,19980508,영업중,,,1,102.76,"경기도 수원시 영통구 매영로310번길 87 (영통동, 동보신명아파트 상가2층)","경기도 수원시 영통구 영통1동 968 동보,신명상가 214호",16699,37.2508823,127.065247,,,
수원시,은혜한의원,19980422,영업중,,,1,77.5,"경기도 수원시 영통구 영통로 505, 3층 (영통동, 정원빌딩)",경기도 수원시 영통구 영통동 954-6번지 정원빌딩 3층,16706,37.2637959,127.0775005,,,
수원시,영통한의원,19980311,영업중,,,1,203.64,"경기도 수원시 영통구 봉영로 1569, 407호 (영통동, 뉴월드프라자)",경기도 수원시 영통구 영통동 960번지 3호 뉴월드프라자 407호,16703,37.25198742,127.0709739,,,
수원시,맑은숲 태강한의원,20060118,영업중,,,1,186.2,"경기도 수원시 장안구 덕영대로535번길 38, 경기서적 404호 (천천동)",경기도 수원시 장안구 천천동 524번지 3호 경기서적,16329,37.2970926,126.982344,,,
수원시,우리한의원,20040731,영업중,,,1,173.64,"경기도 수원시 영통구 중부대로 288, 2층 (매탄동)",경기도 수원시 영통구 매탄동 127번지 27호 2층,16531,37.2734072,127.0470003,,,
수원시,다사랑한의원,20020121,영업중,,,1,150.21,"경기도 수원시 팔달구 덕영대로 695, 4층 (화서동, 화서프라자)",경기도 수원시 팔달구 화서동 644-8번지 화서프라자 4층,16435,37.2846235,126.9902861,,,
수원시,경희솔한의원,20030701,영업중,,,1,91.49,"경기도 수원시 영통구 매영로 84, 120호 (매탄동, 한국2차아파트상가)",경기도 수원시 영통구 매탄동 1217번지 한국2차아파트 상가 120호,16542,37.2673777,127.0510892,,,
수원시,하늘체한의원,20130531,영업중,,,2,124.23,"경기도 수원시 팔달구 권광로 175, 킹스빌딩 4층 (인계동)",경기도 수원시 팔달구 인계동 1046번지 20호 킹스빌딩,16490,37.26323392,127.0320332,,,
수원시,려움한의원,20130524,영업중,,,1,155.3,"경기도 수원시 팔달구 권광로 199, 101호 (인계동)",경기도 수원시 팔달구 인계동 1038번지 2호 101호,16489,37.26553594,127.0329099,,,
수원시,움여성한의원,20150410,영업중,,,1,123.2,"경기도 수원시 영통구 봉영로 1612, 2층 211호 (영통동, 보보스프라자)",경기도 수원시 영통구 영통동 996번지 보보스프라자 211호,16704,37.25440881,127.0750002,,,
수원시,세류한의원,19990712,영업중,,,1,70.7,경기도 수원시 권선구 정조로 452 (세류동),수원시 권선구 세류2동 975-11,16656,37.2496008,127.0126992,,,
수원시,동생한의원,20100514,영업중,,,2,128.44,"경기도 수원시 팔달구 중부대로239번길 5, 203호 (우만동, 우만동R타워)",경기도 수원시 팔달구 우만동 85번지 3호,16498,37.2756795,127.0420518,,,
수원시,우정한의원,20151013,영업중,,,1,99.82,경기도 수원시 장안구 정자천로13번길 17 (천천동),경기도 수원시 장안구 천천동 365번지 5호,16421,37.28959236,126.9785296,,,
수원시,행복한의원,20150423,영업중,,,1,119.84,"경기도 수원시 권선구 금곡로102번길 48, 602호 (금곡동, 호매실주공프라자)",경기도 수원시 권선구 금곡동 1083번지 2호 호매실주공프라자 602호,16385,37.2720118,126.9412887,,,
수원시,중앙한의원,20090708,영업중,,,1,86.22,경기도 수원시 장안구 월드컵로428번길 18 (연무동),경기도 수원시 장안구 연무동 236번지 20호,16220,37.2942358,127.0261934,,,
